Site GVR ID : ,885294,,Customer Name : ,,Sasol Oil (PTY) Ltd,,,
Site ID : ,109949,,Customer ID : ,,S700915,,,
Site Name : ,N17 Sasol Bethal,,Customer Address :,,"18 Beryllium Street, South Africa, South Africa, JHB, ZA",,,
Site Address : ,"Jabulani Selepe Moses Kotane, Bethal, South Africa, 2350, ZA",,,,,,,
,,,,,,,,
Created :,4/4/2024 1:37,,Date Range :,,05/03/2024 - 04/04/2024,,Change Dates,
,,,,,,,,
Alarm Number,Alarm Status,Alarm Category,Alarm Type,Alarm Time,Device,Alarm FMS Time,Alarm Clear Time,Comment
267436305,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 9:49,04 - ULP 95              ,5/3/2024 2:50,5/3/2024 15:29,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267437202,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 9:59,05 - ULP 95              ,5/3/2024 2:59,5/3/2024 15:12,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267491162,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 18:52,02 - ULS 10              ,5/3/2024 11:53,6/3/2024 10:20,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267491240,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,5/3/2024 18:55,02 - ULS 10              ,5/3/2024 11:55,5/3/2024 19:32,"Tank Overfill Alarm, Overfill Threshold Exceeded "
267491249,Alarm Cleared/Closed,System Alarm,Printer Error,5/3/2024 18:55,01 - ULS 10              ,5/3/2024 11:55,5/3/2024 19:08,"Printer Error,  "
267492131,Alarm Cleared/Closed,Tank Alarm,Tank High Limit Alarm,5/3/2024 19:13,01 - ULS 10              ,5/3/2024 12:14,6/3/2024 10:28,"Tank High Limit Alarm, High Product Threshold Exceeded. "
267492210,Alarm Cleared/Closed,Tank Alarm,Tank Overfill Alarm,5/3/2024 19:17,01 - ULS 10              ,5/3/2024 12:17,5/3/2024 19:32,"Tank Overfill Alarm, Overfill Threshold Exceeded "
267878098,Alarm Cleared/Closed,System Alarm,Printer Error,9/3/2024 10:19,01 - ULS 10              ,9/3/2024 3:20,9/3/2024 10:25,"Printer Error,  "
268135873,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,12/3/2024 11:35,02 - ULS 10              ,12/3/2024 5:36,12/3/2024 14:19,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
268136574,Alarm Cleared/Closed,Tank Alarm,Tank Delivery Required Warning,12/3/2024 11:44,01 - ULS 10              ,12/3/2024 5:44,12/3/2024 14:44,"Tank Delivery Required Warning, VolumeBelow Programmed Del Needed threshold "
268174515,Alarm Cleared/Closed,System Alarm,Printer Error,12/3/2024 18:01,01 - ULS 10              ,12/3/2024 12:01,12/3/2024 18:01,"Printer Error,  "
